Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
14529.59345811889,0.01906058201298888,-40.74952874000361,-60.78466106079274
14822.68898213896,0.02079609699512198,-41.01502230917494,-60.60311481721708
15121.69692115179,0.02206431061771855,-41.19826820277912,-60.22494366105541
15426.73654225013,0.01526886043126339,-41.36214457486177,-60.04674365140818
15737.92951842001,0.02400491968380331,-41.61126003614692,-59.411046272356
16055.39997707311,0.02300227824950489,-41.84379093438303,-59.23624375633968
16379.27454955831,0.02389933345963734,-42.01857581467745,-58.79209450459706
16709.68242167181,0.01666407127940316,-42.21238862186976,-58.80642915369607
17046.75538518629,0.02424628301486961,-42.45897533790896,-58.31160557506314
17390.62789041948,0.02501992450934314,-42.5760789399336,-57.83579645317697
17741.43709986313,0.01618993901180179,-42.78889507030497,-57.23595843344805
18099.32294289392,0.0247504967790296,-42.96736092974447,-57.25826531013497
18464.42817158782,0.02216740909740721,-43.20887997257969,-56.87789021186173
18836.89841766056,0.02656389523769336,-43.2898346226506,-56.03268185835981
19216.88225055658,0.02590546155719347,-43.50740101582964,-55.95960312748014
19604.53123670983,0.02648949604210461,-43.66636951412755,-54.80090750701898
20000,0.02382774166225567,-43.81146900138928,-55.41933382759027
